127.0.0.1 - - [05/Aug/2014:00:46:18 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [05/Aug/2014:00:46:25 +0200] "GET /CentarZaTestiranje/index.jsf HTTP/1.1" 200 3271
127.0.0.1 - - [05/Aug/2014:00:46:25 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [05/Aug/2014:00:46:25 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [05/Aug/2014:00:46:26 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [05/Aug/2014:00:46:29 +0200] "POST /CentarZaTestiranje/index.jsf HTTP/1.1" 200 2830
127.0.0.1 - - [05/Aug/2014:00:46:29 +0200] "POST /CentarZaTestiranje/index.jsf HTTP/1.1" 200 2830
127.0.0.1 - - [05/Aug/2014:00:46:29 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [05/Aug/2014:00:46:29 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [05/Aug/2014:00:46:38 +0200] "POST /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 500 5950
127.0.0.1 - - [05/Aug/2014:00:47:28 +0200] "GET /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 200 2830
127.0.0.1 - - [05/Aug/2014:00:47:28 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [05/Aug/2014:00:47:28 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [05/Aug/2014:00:47:37 +0200] "POST /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 200 3538
127.0.0.1 - - [05/Aug/2014:00:47:37 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [05/Aug/2014:00:47:37 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [05/Aug/2014:00:47:44 +0200] "POST /CentarZaTestiranje/pages/kandidat/kandidatIndex.jsf HTTP/1.1" 200 3538
127.0.0.1 - - [05/Aug/2014:00:47:44 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [05/Aug/2014:00:47:44 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [05/Aug/2014:00:47:46 +0200] "POST /CentarZaTestiranje/pages/kandidat/kandidatIndex.jsf HTTP/1.1" 200 3554
127.0.0.1 - - [05/Aug/2014:00:47:46 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [05/Aug/2014:00:47:46 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [05/Aug/2014:00:47:47 +0200] "POST /CentarZaTestiranje/pages/kandidat/prijavljeniTestovi.jsf HTTP/1.1" 200 3554
127.0.0.1 - - [05/Aug/2014:00:47:47 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [05/Aug/2014:00:47:47 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
