127.0.0.1 - - [18/Aug/2014:00:05:35 +0200] "GET /CentarZaTestiranje/index.jsf HTTP/1.1" 200 3271
127.0.0.1 - - [18/Aug/2014:00:05:36 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:05:36 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:05:36 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [18/Aug/2014:00:05:37 +0200] "POST /CentarZaTestiranje/index.jsf HTTP/1.1" 200 2830
127.0.0.1 - - [18/Aug/2014:00:05:37 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:05:37 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:05:42 +0200] "POST /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 200 3707
127.0.0.1 - - [18/Aug/2014:00:05:42 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:05:42 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:05:47 +0200] "POST /CentarZaTestiranje/pages/kandidat/kandidatIndex.jsf HTTP/1.1" 200 3287
127.0.0.1 - - [18/Aug/2014:00:05:47 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:05:47 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:05:48 +0200] "POST /CentarZaTestiranje/index.jsf HTTP/1.1" 200 2830
127.0.0.1 - - [18/Aug/2014:00:05:48 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:05:48 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:05:55 +0200] "POST /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 200 3707
127.0.0.1 - - [18/Aug/2014:00:05:55 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:05:55 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:06:42 +0200] "POST /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 200 3559
127.0.0.1 - - [18/Aug/2014:00:06:42 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:06:42 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:06:42 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [18/Aug/2014:00:07:27 +0200] "POST /CentarZaTestiranje/pages/gost/loginStranica.jsf HTTP/1.1" 200 3513
127.0.0.1 - - [18/Aug/2014:00:07:27 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:07:27 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:07:27 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [18/Aug/2014:00:07:31 +0200] "POST /CentarZaTestiranje/pages/kandidat/kandidatIndex.jsf HTTP/1.1" 200 3738
127.0.0.1 - - [18/Aug/2014:00:07:31 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:07:31 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
127.0.0.1 - - [18/Aug/2014:00:07:35 +0200] "POST /CentarZaTestiranje/pages/kandidat/danasnjaPolaganja.jsf HTTP/1.1" 200 3287
127.0.0.1 - - [18/Aug/2014:00:07:35 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [18/Aug/2014:00:07:35 +0200] "GET /CentarZaTestiranje/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 39083
