127.0.0.1 - - [03/Sep/2014:13:07:15 +0200] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [03/Sep/2014:13:07:50 +0200] "GET /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1594
127.0.0.1 - - [03/Sep/2014:13:07:50 +0200] "GET /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1594
127.0.0.1 - - [03/Sep/2014:13:07:50 +0200] "GET /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1594
127.0.0.1 - - [03/Sep/2014:13:07:51 +0200] "GET /CentarZaTestiranje/RES_NOT_FOUND HTTP/1.1" 404 1015
127.0.0.1 - - [03/Sep/2014:13:07:51 +0200] "GET /CentarZaTestiranje/RES_NOT_FOUND HTTP/1.1" 404 1015
127.0.0.1 - - [03/Sep/2014:13:07:51 +0200] "GET /CentarZaTestiranje/RES_NOT_FOUND HTTP/1.1" 404 1015
127.0.0.1 - - [03/Sep/2014:13:07:51 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:13:07:51 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:13:07:51 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:13:07:51 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Sep/2014:13:07:51 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Sep/2014:13:07:51 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Sep/2014:13:08:13 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1795
127.0.0.1 - - [03/Sep/2014:13:08:13 +0200] "GET /CentarZaTestiranje/RES_NOT_FOUND HTTP/1.1" 404 1015
127.0.0.1 - - [03/Sep/2014:13:08:13 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:13:08:55 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1801
127.0.0.1 - - [03/Sep/2014:13:08:55 +0200] "GET /CentarZaTestiranje/RES_NOT_FOUND HTTP/1.1" 404 1015
127.0.0.1 - - [03/Sep/2014:13:08:55 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:13:08:57 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1801
127.0.0.1 - - [03/Sep/2014:13:08:57 +0200] "GET /CentarZaTestiranje/RES_NOT_FOUND HTTP/1.1" 404 1015
127.0.0.1 - - [03/Sep/2014:13:08:57 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:13:09:08 +0200] "GET /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1600
127.0.0.1 - - [03/Sep/2014:13:09:09 +0200] "GET /CentarZaTestiranje/RES_NOT_FOUND HTTP/1.1" 404 1015
127.0.0.1 - - [03/Sep/2014:13:09:09 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:13:09:09 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Sep/2014:13:09:19 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1801
127.0.0.1 - - [03/Sep/2014:13:09:20 +0200] "GET /CentarZaTestiranje/RES_NOT_FOUND HTTP/1.1" 404 1015
127.0.0.1 - - [03/Sep/2014:13:09:20 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:13:09:20 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Sep/2014:13:18:52 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1847
127.0.0.1 - - [03/Sep/2014:13:18:52 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:13:18:52 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 54
